site,block_number,treatment,species,ammonium_mg_per_g,nitrate_ug_per_g,phosphate_mg_per_g
DD,1,Screefed,Birch,0.069620257,12.86821683,0.0250932
DD,1,Screefed,Pine,0.043021861,4.434460727,0.022927557
DD,1,Uncultivated,Birch,0.042608607,3.079017727,0.015997739
DD,1,Uncultivated,Pine,0.045993675,4.118276921,0.028683663
DD,2,Screefed,Birch,0.038658403,2.38774336,0.012561642
DD,2,Screefed,Pine,0.045263322,3.410385869,0.020489354
DD,2,Uncultivated,Birch,0.056480313,3.501090886,0.020099595
DD,2,Uncultivated,Pine,0.04902005,1.683631108,0.018878687
DD,3,Screefed,Birch,0.033261976,1.247931964,0.011125453
DD,3,Screefed,Pine,0.03524197,1.034885378,0.007674494
DD,3,Uncultivated,Birch,0.062661796,1.967356167,0.033100789
DD,3,Uncultivated,Pine,0.028078783,1.016163075,0.010118413
DD,4,Screefed,Birch,0.049860074,1.897743878,0.016350995
DD,4,Screefed,Pine,0.034186124,2.00399701,0.013448481
DD,4,Uncultivated,Birch,0.058121927,4.203548043,0.028670998
DD,4,Uncultivated,Pine,0.049924971,2.577965382,0.027912381
SD,5,Mounded,Birch,0.030960864,0.910882963,0.008847208
SD,5,Mounded,Pine,0.020944257,0.565552762,0.004333024
SD,5,Uncultivated,Birch,0.029937384,2.668326444,0.007971791
SD,5,Uncultivated,Pine,0.021891992,2.211164393,0.005914171
SD,6,Mounded,Birch,0.036704258,1.394926159,0.006152127
SD,6,Mounded,Pine,0.029315282,1.652602099,0.006401573
SD,6,Uncultivated,Birch,0.025878707,3.144687226,0.012054036
SD,6,Uncultivated,Pine,0.029340296,2.880283453,0.012564632
SD,7,Screefed,Birch,0.038628259,1.527576296,0.086186609
SD,7,Screefed,Pine,0.050731167,2.202702521,0.039696222
SD,7,Uncultivated,Birch,0.040486639,1.99608118,0.030514193
SD,7,Uncultivated,Pine,0.024784482,1.432348523,0.046273921
SD,8,Screefed,Birch,0.027516113,1.648208483,0.001070608
SD,8,Screefed ,Pine,0.027069838,1.579715095,0.002234907
SD,8,Uncultivated,Birch,0.033608678,1.041946391,0.004620219
SD,8,Uncultivated,Pine,0.020573578,0.839148184,0.001094706
Blank,N/A,N/A,N/A,-0.001230188,5.248966158,1.91156E-05
Blank,N/A,N/A,N/A,-0.002295855,3.068915296,3.85342E-05
Blank,N/A,N/A,N/A,-0.002013917,3.574550816,N/A
,,,Limit of detection,-0.001846653,3.96414409,2.88249E-05
